patient_id,mrn,first_name,last_name,date_of_birth,gender,ssn,phone,email,address,city,state,zip_code,emergency_contact_name,emergency_contact_phone,primary_insurance_id,secondary_insurance_id,blood_type,is_active,registration_date
PAT000225,MRN1000225,Linda,Garcia,1952-04-23,Male,943-31-8432,555-495-1959,patient225@hotmail.com,917 Park Ave,San Antonio,TX,66042,Christopher Rodriguez,555-203-9581,INS000640,INS000011,A+,True,2023-06-24 23:53:57.966615
PAT000226,MRN1000226,Jessica,Hernandez,1964-10-01,Male,983-31-5976,555-822-5180,patient226@outlook.com,2478 Valley Blvd,Philadelphia,AZ,30286,David Garcia,555-920-7089,INS000800,INS000765,O-,True,2023-08-03 23:53:57.966615
PAT000227,MRN1000227,Michael,Hernandez,1943-12-13,Male,464-36-9015,555-936-4332,patient227@hotmail.com,1643 Oak Ave,San Diego,NY,45788,Barbara Anderson,555-870-2862,INS000056,,A-,True,2021-01-08 23:53:57.966615
PAT000228,MRN1000228,Mary,Davis,1952-10-12,Female,371-89-7121,555-810-8976,patient228@outlook.com,9000 Lake Dr,Phoenix,IL,76396,Michael Anderson,555-588-7897,INS000128,,O-,True,2022-07-06 23:53:57.966615
PAT000229,MRN1000229,Charles,Martin,1980-04-14,Male,123-67-1009,555-930-8368,patient229@yahoo.com,2890 Pine Rd,Phoenix,IL,74921,Sarah Anderson,555-685-7318,INS000762,INS000350,B-,True,2024-04-27 23:53:57.966615
PAT000230,MRN1000230,Lisa,Rodriguez,1999-03-12,Male,617-79-8124,555-394-1423,patient230@email.com,8514 Pine Rd,San Antonio,FL,29953,Daniel Rodriguez,555-653-1271,INS000371,INS000895,AB-,True,2023-12-31 23:53:57.966615
PAT000231,MRN1000231,Richard,Thompson,1951-02-25,Female,408-10-7859,555-853-3104,patient231@hotmail.com,4700 Lake Dr,Philadelphia,CA,35700,Jessica Thomas,555-768-7326,INS000163,,AB+,True,2019-08-28 23:53:57.966615
PAT000232,MRN1000232,William,Wilson,1995-02-05,Male,866-73-6953,555-705-3054,patient232@yahoo.com,2132 Hill Rd,Houston,PA,83420,Sarah Moore,555-402-7054,INS000212,,AB+,True,2021-08-11 23:53:57.966615
PAT000233,MRN1000233,Charles,Lee,1995-02-13,Female,871-62-1355,555-648-7636,patient233@hotmail.com,3255 Main St,Chicago,FL,55743,William Smith,555-964-6841,INS000854,,B+,True,2022-12-28 23:53:57.966615
PAT000234,MRN1000234,Susan,Lee,1940-09-17,Female,273-15-9939,555-395-4954,patient234@yahoo.com,1533 Hill Rd,Philadelphia,PA,78950,Joseph Smith,555-414-5955,INS000934,INS000884,AB-,True,2020-04-04 23:53:57.966615
PAT000235,MRN1000235,Karen,Smith,1983-03-15,Female,110-95-2692,555-306-1469,patient235@yahoo.com,1971 Lake Dr,Philadelphia,AZ,59298,Daniel White,555-845-3360,INS000665,,B+,True,2023-03-03 23:53:57.966615
PAT000236,MRN1000236,Jennifer,Anderson,1959-04-03,Female,678-31-1761,555-931-3483,patient236@email.com,9658 Park Ave,Phoenix,FL,53197,Karen Rodriguez,555-198-7023,INS000039,INS000840,AB+,True,2024-06-22 23:53:57.966615
PAT000237,MRN1000237,Joseph,Harris,1966-04-14,Female,269-33-2273,555-534-6699,patient237@email.com,975 Lake Dr,Phoenix,CA,96671,Susan Hernandez,555-601-9837,INS000921,,O-,True,2025-01-19 23:53:57.966615
PAT000238,MRN1000238,Joseph,Martinez,2005-07-13,Male,480-48-4902,555-867-1484,patient238@email.com,5583 Lake Dr,Los Angeles,FL,41929,Jessica Anderson,555-910-4644,INS000134,,O-,False,2025-12-11 23:53:57.966615
PAT000239,MRN1000239,John,Jones,1955-05-12,Male,734-14-5579,555-688-7299,patient239@yahoo.com,8715 Valley Blvd,Los Angeles,PA,91491,Joseph Johnson,555-574-3577,INS000622,,O-,True,2019-09-20 23:53:57.966615
PAT000240,MRN1000240,Patricia,Jackson,1942-07-20,Male,365-79-1566,555-824-4066,patient240@hotmail.com,8630 Cedar Ln,Dallas,IL,30110,Susan Williams,555-545-5740,INS000971,INS000553,O-,True,2024-04-01 23:53:57.966615
PAT000241,MRN1000241,Christopher,Martin,1942-01-31,Female,698-38-3840,555-219-4090,patient241@yahoo.com,9546 Lake Dr,Los Angeles,CA,72804,Robert Martin,555-130-6295,INS000613,,AB+,True,2023-12-24 23:53:57.966615
PAT000242,MRN1000242,Charles,Smith,1957-12-29,Male,260-54-4152,555-525-7178,patient242@outlook.com,4767 Valley Blvd,Dallas,AZ,96357,Thomas Taylor,555-311-3383,INS000675,,AB+,True,2024-08-10 23:53:57.966615
PAT000243,MRN1000243,Christopher,Anderson,1965-06-22,Female,353-36-3839,555-563-8531,patient243@outlook.com,7453 Valley Blvd,Philadelphia,TX,60858,Karen Anderson,555-744-8377,INS000638,,AB+,True,2022-05-21 23:53:57.966615
PAT000244,MRN1000244,Barbara,Rodriguez,1994-07-05,Other,106-31-5008,555-226-7185,patient244@yahoo.com,9934 Main St,Los Angeles,AZ,82536,Robert Moore,555-302-8023,INS000412,,O+,True,2025-01-01 23:53:57.966615
PAT000245,MRN1000245,Robert,Lee,1941-04-10,Female,466-18-1667,555-525-7780,patient245@gmail.com,5272 Pine Rd,Houston,PA,69406,Elizabeth Jones,555-634-9672,INS000391,,AB+,True,2023-01-24 23:53:57.966615
PAT000246,MRN1000246,Charles,Thomas,1973-02-01,Female,257-57-6429,555-545-2277,patient246@outlook.com,2308 Oak Ave,San Antonio,CA,97003,Richard Taylor,555-471-4345,INS000201,,B-,True,2022-03-31 23:53:57.966615
PAT000247,MRN1000247,Daniel,Jones,1985-02-10,Male,452-17-2859,555-101-3286,patient247@outlook.com,8133 Oak Ave,San Diego,IL,22122,Mary Martin,555-369-3175,INS000225,,A+,True,2022-01-30 23:53:57.966615
PAT000248,MRN1000248,Richard,Martin,1956-07-13,Female,733-38-6531,555-420-7457,patient248@hotmail.com,1908 Cedar Ln,Houston,TX,44180,Robert Taylor,555-638-4496,INS000022,INS000243,AB+,True,2020-08-29 23:53:57.966615
PAT000249,MRN1000249,Linda,Wilson,1971-07-22,Female,390-52-1547,555-346-5552,patient249@email.com,9050 Park Ave,Dallas,CA,20255,Robert Gonzalez,555-750-1622,INS000983,INS000793,O+,True,2019-06-14 23:53:57.966615
PAT000250,MRN1000250,David,Wilson,1989-09-10,Male,331-61-9262,555-278-1525,patient250@gmail.com,5600 Park Ave,New York,CA,41644,Nancy Harris,555-326-8484,INS000615,,AB+,True,2021-11-29 23:53:57.966615
PAT000251,MRN1000251,Michael,Jackson,1991-08-11,Male,932-80-5666,555-237-3097,patient251@gmail.com,5931 Hill Rd,Philadelphia,FL,45845,John White,555-728-8679,INS000843,,A+,True,2023-10-28 23:53:57.966615
PAT000252,MRN1000252,Mary,Martinez,1992-02-20,Female,811-36-4172,555-236-4607,patient252@hotmail.com,1655 Hill Rd,Chicago,FL,85563,Christopher Gonzalez,555-793-9484,INS000913,INS000059,A+,True,2020-12-16 23:53:57.966615
PAT000253,MRN1000253,Daniel,Williams,1974-07-30,Female,873-41-4157,555-375-9916,patient253@email.com,8857 Oak Ave,New York,FL,36313,William Brown,555-983-4566,INS000170,,O+,True,2024-07-30 23:53:57.966615
PAT000254,MRN1000254,Barbara,Anderson,2001-01-17,Female,996-30-5825,555-140-2185,patient254@hotmail.com,254 Park Ave,Houston,AZ,26301,Joseph Smith,555-793-4460,INS000933,INS000914,A+,True,2023-06-19 23:53:57.966615
PAT000255,MRN1000255,Charles,Jackson,1963-07-23,Female,970-41-7457,555-313-8171,patient255@outlook.com,1361 Lake Dr,Dallas,NY,73124,James Hernandez,555-182-7099,INS000252,INS000086,O+,True,2020-08-09 23:53:57.966615
PAT000256,MRN1000256,Joseph,Martin,1981-04-10,Female,267-85-7991,555-533-4616,patient256@outlook.com,3561 Elm St,Dallas,CA,89817,Michael Thomas,555-123-4899,INS000367,INS000622,B+,True,2021-08-05 23:53:57.966615
PAT000257,MRN1000257,Lisa,Gonzalez,1936-11-15,Female,235-10-9804,555-531-8999,patient257@email.com,6758 Maple Dr,Los Angeles,CA,61185,John Lee,555-268-2549,INS000871,INS000194,O+,True,2021-05-29 23:53:57.966615
PAT000258,MRN1000258,James,Thomas,1995-02-15,Male,127-54-9820,555-466-1264,patient258@outlook.com,1651 Park Ave,Austin,NY,67713,Thomas Wilson,555-708-9352,INS000988,,AB+,True,2025-07-15 23:53:57.966615
PAT000259,MRN1000259,Jennifer,Smith,1991-05-31,Male,760-39-3006,555-196-8771,patient259@email.com,3378 Oak Ave,Houston,TX,14374,Mary Hernandez,555-483-7891,INS000410,,O+,True,2022-12-24 23:53:57.966615
PAT000260,MRN1000260,Barbara,Moore,1982-01-27,Male,229-44-5427,555-984-8411,patient260@yahoo.com,2855 Valley Blvd,San Diego,CA,66416,Richard Harris,555-453-6944,INS000362,,B+,True,2025-04-03 23:53:57.966615
PAT000261,MRN1000261,Barbara,Smith,2006-10-20,Female,192-30-1942,555-729-2182,patient261@gmail.com,7652 Elm St,San Antonio,IL,10768,Daniel Gonzalez,555-898-2322,INS000272,,O-,True,2022-11-06 23:53:57.966615
PAT000262,MRN1000262,Patricia,Moore,1984-04-12,Female,554-52-7435,555-435-3453,patient262@yahoo.com,5873 Lake Dr,Dallas,IL,57879,Sarah Taylor,555-797-1489,INS000993,INS000295,AB-,True,2024-06-05 23:53:57.966615
PAT000263,MRN1000263,Jennifer,Martin,1945-10-21,Female,420-88-3193,555-750-5987,patient263@gmail.com,3016 Park Ave,Phoenix,CA,57688,James Miller,555-230-6433,INS000004,,AB-,True,2021-03-23 23:53:57.966615
PAT000264,MRN1000264,Thomas,Anderson,1950-02-17,Male,157-25-3337,555-382-7612,patient264@yahoo.com,1793 Park Ave,Los Angeles,PA,83297,John White,555-111-7490,INS000251,,B-,True,2022-08-07 23:53:57.966615
PAT000265,MRN1000265,Jennifer,Martinez,1947-08-22,Female,348-73-7577,555-223-5494,patient265@email.com,9876 Cedar Ln,Dallas,FL,94028,Christopher Gonzalez,555-546-8117,INS000031,,O-,True,2023-08-23 23:53:57.966615
PAT000266,MRN1000266,Joseph,Thompson,1988-11-10,Female,302-19-8882,555-400-1440,patient266@hotmail.com,6825 Maple Dr,Phoenix,PA,23273,Richard Martinez,555-997-9585,INS000451,INS000741,O-,True,2025-05-25 23:53:57.966615
PAT000267,MRN1000267,Susan,Thompson,1992-08-04,Female,570-49-7089,555-731-3690,patient267@yahoo.com,8095 Hill Rd,San Diego,CA,72611,Jessica Jackson,555-514-1603,INS000612,,B-,True,2023-12-20 23:53:57.966615
PAT000268,MRN1000268,Nancy,Thomas,1970-06-13,Female,384-30-2074,555-316-5019,patient268@yahoo.com,8408 Oak Ave,Los Angeles,NY,40014,Barbara Lee,555-512-8499,INS000659,,AB-,True,2019-02-07 23:53:57.966615
PAT000269,MRN1000269,Michael,Rodriguez,1999-02-11,Male,115-59-3986,555-895-6741,patient269@outlook.com,1552 Valley Blvd,Phoenix,CA,51868,John Jones,555-328-5876,INS000608,INS000821,AB+,True,2020-10-01 23:53:57.966615
PAT000270,MRN1000270,Susan,Moore,1998-05-18,Female,709-44-2522,555-164-8502,patient270@yahoo.com,3561 Hill Rd,San Antonio,CA,70621,Joseph Jackson,555-606-7841,INS000121,,O+,True,2025-07-10 23:53:57.966615
PAT000271,MRN1000271,Elizabeth,Lopez,1960-03-09,Male,679-36-8342,555-411-7479,patient271@outlook.com,9766 Valley Blvd,Chicago,TX,89629,Thomas Miller,555-582-2533,INS000823,INS000891,A+,True,2019-12-06 23:53:57.966615
PAT000272,MRN1000272,Linda,Thompson,1952-04-07,Male,450-89-2602,555-469-8115,patient272@outlook.com,9688 Main St,Chicago,IL,26422,Patricia Garcia,555-991-5879,INS000362,,A-,True,2025-03-04 23:53:57.966615
PAT000273,MRN1000273,John,Martin,2003-06-05,Female,700-26-3962,555-414-3295,patient273@outlook.com,6521 Hill Rd,New York,NY,25524,William Jones,555-948-9714,INS000282,,B+,True,2023-07-27 23:53:57.966615
PAT000274,MRN1000274,David,Jackson,2004-11-16,Female,505-67-2245,555-989-7175,patient274@email.com,2831 Main St,Los Angeles,FL,25916,Sarah Thompson,555-538-5040,INS000825,INS000585,A-,True,2020-08-01 23:53:57.966615
PAT000275,MRN1000275,Karen,Martinez,1990-10-17,Female,819-39-2636,555-933-1860,patient275@email.com,1964 Maple Dr,Phoenix,CA,60932,Barbara Davis,555-245-6871,INS000814,,A+,True,2024-04-20 23:53:57.966615
PAT000276,MRN1000276,Elizabeth,Gonzalez,1980-08-26,Female,593-57-4803,555-212-7287,patient276@yahoo.com,312 Lake Dr,Dallas,CA,27858,Barbara Thompson,555-841-2458,INS000862,INS000479,AB+,True,2024-01-14 23:53:57.966615
PAT000277,MRN1000277,Thomas,Rodriguez,1973-09-25,Female,839-61-3098,555-352-9021,patient277@hotmail.com,1359 Park Ave,Houston,IL,54433,Nancy Rodriguez,555-848-1015,INS000062,,A+,True,2019-06-03 23:53:57.966615
PAT000278,MRN1000278,Karen,Williams,1960-11-18,Female,533-45-8757,555-869-3101,patient278@hotmail.com,8189 Elm St,Houston,FL,13210,John Gonzalez,555-336-9646,INS000824,,O-,True,2019-10-08 23:53:57.966615
PAT000279,MRN1000279,Sarah,Taylor,1969-05-02,Female,426-29-9334,555-488-4574,patient279@gmail.com,3188 Pine Rd,Houston,TX,61537,James Williams,555-442-4034,INS000185,INS000392,B+,True,2024-06-10 23:53:57.966615
PAT000280,MRN1000280,Charles,Miller,1999-02-26,Male,744-61-5126,555-168-6844,patient280@hotmail.com,1982 Park Ave,Philadelphia,IL,86997,Charles Martin,555-417-3402,INS000700,INS000007,AB-,True,2024-09-03 23:53:57.966615
PAT000281,MRN1000281,David,Martin,1946-05-17,Male,492-23-3324,555-852-7248,patient281@gmail.com,3734 Maple Dr,Phoenix,NY,83045,John Martin,555-977-8695,INS000475,,AB+,True,2025-11-10 23:53:57.966615
PAT000282,MRN1000282,Karen,Taylor,1973-10-31,Male,818-13-7975,555-727-6486,patient282@yahoo.com,7007 Oak Ave,New York,PA,90262,Sarah Thompson,555-490-3767,INS000214,,AB-,True,2019-02-02 23:53:57.966615
PAT000283,MRN1000283,Richard,Martinez,1988-10-04,Male,223-67-4744,555-464-3587,patient283@hotmail.com,4066 Oak Ave,Los Angeles,AZ,34638,William Moore,555-256-2690,INS000947,INS000481,B-,True,2023-10-18 23:53:57.966615
PAT000284,MRN1000284,Barbara,Brown,2003-07-20,Male,127-10-3594,555-754-3993,patient284@yahoo.com,7803 Valley Blvd,Los Angeles,AZ,58626,James Taylor,555-433-6774,INS000168,,O+,True,2021-12-26 23:53:57.966615
PAT000285,MRN1000285,Elizabeth,Wilson,1965-06-14,Male,775-78-5400,555-597-8187,patient285@email.com,8732 Elm St,Chicago,IL,44468,Joseph Smith,555-679-7560,INS000027,,A+,True,2024-05-17 23:53:57.966615
PAT000286,MRN1000286,Susan,Anderson,2006-12-24,Male,422-27-5431,555-484-5304,patient286@hotmail.com,4486 Valley Blvd,San Diego,CA,61530,Daniel Brown,555-347-8237,INS000121,,A-,True,2022-07-20 23:53:57.966615
PAT000287,MRN1000287,Nancy,Davis,1994-08-30,Other,162-34-3723,555-931-2518,patient287@hotmail.com,700 Main St,Chicago,PA,49617,Jessica Smith,555-402-4373,INS000150,,O+,True,2023-11-28 23:53:57.966615
PAT000288,MRN1000288,Susan,Martinez,1959-01-22,Male,822-23-2028,555-405-1736,patient288@outlook.com,5186 Valley Blvd,Dallas,FL,62513,Daniel Taylor,555-686-7793,INS000888,INS000461,A+,True,2019-03-31 23:53:57.966615
PAT000289,MRN1000289,Linda,Anderson,1972-03-24,Female,462-98-4772,555-126-4544,patient289@gmail.com,1022 Maple Dr,Houston,TX,37345,Lisa Thompson,555-333-5213,INS000999,,B-,True,2024-04-30 23:53:57.966615
PAT000290,MRN1000290,Elizabeth,Taylor,1967-10-22,Male,980-52-6810,555-978-9971,patient290@yahoo.com,7902 Pine Rd,San Antonio,CA,87664,Richard Thomas,555-729-6518,INS000644,,B+,True,2024-03-06 23:53:57.966615
PAT000291,MRN1000291,David,Lee,1945-10-02,Female,110-50-2541,555-431-1040,patient291@gmail.com,9952 Elm St,New York,NY,80138,Patricia Lopez,555-710-5735,INS000624,,AB+,True,2019-03-26 23:53:57.966615
PAT000292,MRN1000292,William,Hernandez,1949-06-29,Male,377-36-3286,555-283-6480,patient292@email.com,4947 Elm St,Houston,CA,88114,Jennifer Johnson,555-107-4294,INS000366,,O-,True,2021-11-25 23:53:57.966615
PAT000293,MRN1000293,Elizabeth,Miller,1992-10-26,Male,202-84-2721,555-451-2041,patient293@outlook.com,8552 Elm St,New York,CA,68701,Jessica Anderson,555-669-6699,INS000221,,A+,True,2025-09-03 23:53:57.966615
PAT000294,MRN1000294,Lisa,Gonzalez,2003-01-10,Female,406-40-1808,555-846-4412,patient294@yahoo.com,8349 Maple Dr,Dallas,IL,12041,Christopher Brown,555-428-5685,INS000096,INS000647,O-,True,2025-01-24 23:53:57.966615
PAT000295,MRN1000295,Linda,Harris,1994-06-21,Male,629-66-8948,555-951-5441,patient295@gmail.com,5699 Park Ave,San Diego,NY,23320,Lisa Johnson,555-524-6935,INS000572,,B+,False,2022-08-13 23:53:57.966615
PAT000296,MRN1000296,Elizabeth,Jackson,1938-03-02,Male,705-69-3288,555-898-5727,patient296@email.com,3940 Valley Blvd,San Antonio,IL,48793,Jessica Martinez,555-545-7029,INS001000,INS000839,O+,True,2019-09-04 23:53:57.966615
PAT000297,MRN1000297,Daniel,Moore,2004-11-26,Male,367-69-3078,555-799-5191,patient297@email.com,9700 Hill Rd,Phoenix,NY,96851,Mary Martinez,555-303-2220,INS000944,INS000125,B+,True,2021-08-15 23:53:57.966615
PAT000298,MRN1000298,William,Moore,2005-03-16,Male,483-98-5117,555-996-7542,patient298@outlook.com,2126 Pine Rd,San Diego,TX,92364,Linda Davis,555-581-1953,INS000335,,AB-,True,2024-07-19 23:53:57.966615
PAT000299,MRN1000299,John,Brown,1954-09-19,Male,980-26-3512,555-592-3304,patient299@yahoo.com,7994 Cedar Ln,San Diego,NY,94657,Susan Moore,555-625-9037,INS000005,,A-,True,2019-10-18 23:53:57.966615
PAT000300,MRN1000300,Elizabeth,Gonzalez,1977-12-25,Male,195-74-9933,555-284-9739,patient300@gmail.com,3668 Valley Blvd,New York,CA,52946,Charles Lopez,555-322-1513,INS000023,INS000758,O-,True,2023-02-14 23:53:57.966615
PAT000301,MRN1000301,Karen,Martinez,1938-02-17,Female,341-42-6264,555-648-4746,patient301@outlook.com,2625 Pine Rd,Austin,CA,57267,Lisa Anderson,555-154-3451,INS000300,,AB+,True,2025-10-03 23:53:57.966615
PAT000302,MRN1000302,Patricia,Jackson,1936-12-18,Female,817-79-2793,555-686-1013,patient302@yahoo.com,5378 Elm St,New York,FL,73700,Karen Gonzalez,555-856-2491,INS000132,INS000908,B-,False,2020-11-15 23:53:57.966615
PAT000303,MRN1000303,Richard,Moore,1986-11-05,Female,704-33-1121,555-407-8681,patient303@email.com,1834 Lake Dr,San Antonio,CA,10642,Joseph White,555-116-3399,INS000206,INS000226,A-,True,2021-03-11 23:53:57.966615
PAT000304,MRN1000304,Charles,Smith,1972-12-26,Male,409-79-8915,555-873-4951,patient304@yahoo.com,4561 Oak Ave,San Diego,IL,40248,Robert Lee,555-853-8663,INS000081,,O+,True,2019-05-29 23:53:57.966615
PAT000305,MRN1000305,Karen,Rodriguez,1970-11-27,Female,604-15-8068,555-339-2083,patient305@outlook.com,9933 Pine Rd,San Antonio,NY,88551,Elizabeth Wilson,555-308-7228,INS000681,,A+,True,2022-05-11 23:53:57.966615
PAT000306,MRN1000306,Charles,Martinez,1943-05-02,Male,604-91-7262,555-358-6917,patient306@outlook.com,5386 Hill Rd,Los Angeles,FL,41108,John Thompson,555-787-7161,INS000971,,B-,True,2023-10-27 23:53:57.966615
PAT000307,MRN1000307,Linda,Hernandez,1995-11-24,Male,949-83-4248,555-382-7192,patient307@outlook.com,1193 Cedar Ln,Dallas,NY,42838,Mary Hernandez,555-326-3748,INS000545,,B+,True,2019-04-11 23:53:57.966615
PAT000308,MRN1000308,Karen,Smith,2001-10-08,Female,313-40-3787,555-848-2371,patient308@outlook.com,8186 Park Ave,Houston,TX,96692,John Williams,555-459-7398,INS000144,INS000004,AB-,True,2025-06-07 23:53:57.966615
PAT000309,MRN1000309,Linda,Martin,1956-10-22,Male,703-85-8045,555-482-8900,patient309@gmail.com,3040 Oak Ave,San Diego,PA,27343,Mary Jackson,555-772-8556,INS000717,INS000069,A+,True,2019-12-03 23:53:57.966615
PAT000310,MRN1000310,Daniel,Garcia,1975-09-22,Male,462-22-6864,555-399-4243,patient310@gmail.com,3085 Maple Dr,San Antonio,NY,72316,James Johnson,555-309-4045,INS000040,,B-,True,2020-10-17 23:53:57.966615
PAT000311,MRN1000311,William,Thompson,1990-06-03,Female,993-89-1936,555-252-6858,patient311@email.com,6748 Main St,Chicago,IL,22983,Nancy Thomas,555-274-4350,INS000777,,AB+,True,2020-01-02 23:53:57.966615
PAT000312,MRN1000312,William,Lee,1971-05-05,Female,269-53-8655,555-195-2875,patient312@hotmail.com,2090 Hill Rd,Austin,IL,80910,Mary Brown,555-391-9273,INS000710,INS000140,B-,True,2023-08-29 23:53:57.966615
PAT000313,MRN1000313,Charles,Taylor,1959-04-12,Female,833-79-5748,555-366-8503,patient313@yahoo.com,6574 Maple Dr,Philadelphia,IL,61789,Jessica Moore,555-562-5389,INS000875,,AB+,True,2022-09-29 23:53:57.966615
PAT000314,MRN1000314,Joseph,Gonzalez,1955-09-20,Female,543-45-1939,555-638-9471,patient314@hotmail.com,9462 Valley Blvd,New York,AZ,62105,Lisa Lopez,555-677-4503,INS000394,,AB+,True,2020-06-12 23:53:57.966615
PAT000315,MRN1000315,Elizabeth,Smith,2005-04-05,Other,632-52-9248,555-577-6190,patient315@yahoo.com,4378 Elm St,San Diego,FL,86440,James Harris,555-712-2070,INS000956,,B+,True,2021-07-10 23:53:57.966615
PAT000316,MRN1000316,Linda,Hernandez,2007-03-01,Male,904-55-9639,555-318-2040,patient316@outlook.com,4330 Oak Ave,San Antonio,TX,29780,Jennifer Smith,555-536-7413,INS000530,,O-,True,2020-11-27 23:53:57.966615
PAT000317,MRN1000317,Charles,Garcia,1977-08-24,Male,643-34-9871,555-237-1132,patient317@email.com,3506 Hill Rd,San Diego,NY,57463,Barbara Johnson,555-105-2573,INS000130,INS000822,AB-,True,2019-01-18 23:53:57.966615
PAT000318,MRN1000318,William,Brown,1966-05-09,Male,275-51-8163,555-396-1228,patient318@outlook.com,4223 Elm St,Los Angeles,FL,52225,Robert Lopez,555-694-3029,INS000828,,B+,True,2025-10-09 23:53:57.966615
PAT000319,MRN1000319,Susan,Johnson,1965-05-16,Male,827-71-3211,555-697-6279,patient319@yahoo.com,3929 Oak Ave,San Antonio,AZ,26533,Nancy Martinez,555-134-1170,INS000931,,B-,True,2025-06-23 23:53:57.966615
PAT000320,MRN1000320,William,Garcia,1953-10-15,Male,514-32-1294,555-392-4995,patient320@gmail.com,5243 Park Ave,Chicago,IL,89211,Charles Thomas,555-409-9990,INS000057,,O+,True,2021-02-15 23:53:57.966615
PAT000321,MRN1000321,James,Gonzalez,1979-12-23,Female,857-75-5360,555-551-9119,patient321@email.com,3665 Main St,Los Angeles,PA,94993,Jennifer Thompson,555-631-8058,INS000309,INS000872,A-,True,2020-05-15 23:53:57.966615
PAT000322,MRN1000322,Thomas,Jones,2005-05-13,Female,507-71-3053,555-766-8134,patient322@gmail.com,9981 Maple Dr,San Diego,PA,17177,Christopher Davis,555-505-1375,INS000542,,O-,True,2024-04-17 23:53:57.966615
PAT000323,MRN1000323,Nancy,Anderson,2002-09-06,Female,774-84-3757,555-535-2552,patient323@gmail.com,242 Lake Dr,Chicago,NY,53157,Daniel Thompson,555-865-8247,INS000896,,AB+,True,2022-07-23 23:53:57.966615
PAT000324,MRN1000324,Nancy,Johnson,1999-06-19,Male,471-49-4550,555-626-4183,patient324@outlook.com,9894 Park Ave,New York,IL,13126,Karen Garcia,555-312-3527,INS000128,,O+,True,2022-08-22 23:53:57.966615
PAT000325,MRN1000325,Daniel,Gonzalez,1963-08-28,Female,982-91-6224,555-153-9656,patient325@gmail.com,8641 Elm St,Phoenix,CA,91413,Mary Williams,555-523-6071,INS000801,,AB+,True,2021-07-25 23:53:57.966615
PAT000326,MRN1000326,Sarah,Gonzalez,1986-03-22,Female,854-57-2313,555-923-7127,patient326@yahoo.com,855 Valley Blvd,Dallas,CA,32758,James Thompson,555-411-8328,INS000710,,AB-,True,2021-03-17 23:53:57.966615
PAT000327,MRN1000327,Jennifer,Martinez,1995-10-22,Female,904-84-7419,555-614-1845,patient327@gmail.com,7122 Cedar Ln,Dallas,PA,61043,Jennifer Martin,555-892-4239,INS000034,,AB+,True,2021-08-23 23:53:57.966615
PAT000328,MRN1000328,Robert,Moore,1978-02-18,Male,272-81-3605,555-161-2636,patient328@gmail.com,6036 Valley Blvd,Dallas,FL,17024,Jessica Lopez,555-780-8684,INS000581,,AB-,True,2021-10-23 23:53:57.966615
PAT000329,MRN1000329,Linda,Martin,1936-06-21,Female,276-33-6740,555-840-9780,patient329@yahoo.com,8920 Lake Dr,San Antonio,PA,10929,Karen Martin,555-626-6855,INS000244,INS000108,AB-,True,2019-03-25 23:53:57.966615
PAT000330,MRN1000330,Mary,Johnson,1957-07-16,Male,108-23-9737,555-591-4984,patient330@hotmail.com,2321 Cedar Ln,Dallas,PA,16279,Jessica Rodriguez,555-728-6948,INS000932,,O-,True,2022-07-31 23:53:57.966615
PAT000331,MRN1000331,Charles,Smith,2006-12-14,Male,287-55-7647,555-187-6112,patient331@yahoo.com,626 Hill Rd,New York,IL,97400,Christopher Anderson,555-745-5577,INS000991,,A-,True,2019-09-28 23:53:57.966615
PAT000332,MRN1000332,David,Moore,2005-09-22,Male,272-48-8327,555-311-2381,patient332@yahoo.com,2980 Oak Ave,Phoenix,IL,20512,Nancy White,555-193-8935,INS000058,,B+,True,2023-07-21 23:53:57.966615
PAT000333,MRN1000333,Thomas,Garcia,1936-06-01,Female,276-80-7736,555-432-2508,patient333@hotmail.com,7651 Lake Dr,Los Angeles,TX,24560,Christopher Thompson,555-541-1954,INS000932,INS000931,O-,True,2021-03-15 23:53:57.966615
PAT000334,MRN1000334,Susan,Rodriguez,1966-08-31,Female,293-85-5127,555-166-5098,patient334@hotmail.com,3183 Elm St,Dallas,IL,97454,David Lee,555-905-1380,INS000984,,B-,True,2025-12-27 23:53:57.966615
PAT000335,MRN1000335,Robert,Moore,1988-08-29,Male,284-92-1208,555-334-8096,patient335@outlook.com,1622 Park Ave,San Antonio,NY,17259,Linda Martin,555-713-4241,INS000355,,A-,True,2019-09-15 23:53:57.966615
PAT000336,MRN1000336,Karen,Rodriguez,1952-11-07,Male,192-31-3662,555-592-9763,patient336@yahoo.com,6661 Hill Rd,Austin,NY,20900,Susan Hernandez,555-607-2584,INS000305,INS000461,O-,True,2022-07-29 23:53:57.966615
PAT000337,MRN1000337,Lisa,Lopez,1966-08-28,Male,351-45-2428,555-522-3798,patient337@gmail.com,1154 Oak Ave,Houston,AZ,52821,Karen Harris,555-524-5794,INS000544,,AB+,True,2023-09-07 23:53:57.966615
PAT000338,MRN1000338,Jessica,Taylor,2000-01-12,Male,394-82-3867,555-746-2702,patient338@hotmail.com,3478 Maple Dr,New York,AZ,65591,Joseph Harris,555-889-6992,INS000295,,B+,True,2020-03-26 23:53:57.966615
